"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Abarema lehmannii","","8JCY","4QHXL","4QHXL","Abarema lehmannii (Britton & Rose) Barneby & J.W.Grimes","Abarema lehmannii","(Britton & Rose) Barneby & J.W.Grimes","synonym","Punjuba lehmannii Britton & Rose","SPECIES:Punjuba lehmannii Britton & Rose|GENUS:Punjuba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Punjuba Britton & Rose"
"Abarema leucophylla","","8JCZ","9DZTN","9DZTN","Abarema leucophylla (Spruce ex Benth.) Barneby & J.W.Grimes","Abarema leucophylla","(Spruce ex Benth.) Barneby & J.W.Grimes","synonym","Jupunba leucophylla (Spruce ex Benth.) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba leucophylla (Spruce ex Benth.) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema levelii","","8JD2","8JD2","9CJHM","Abarema levelii (R.S.Cowan) Barneby & J.W.Grimes","Abarema levelii","(R.S.Cowan) Barneby & J.W.Grimes","accepted","Abarema levelii (R.S.Cowan) Barneby & J.W.Grimes","GENUS:Abarema Pittier|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Abarema Pittier"
"Abarema longipedunculata","","8JD3","9DZTP","9DZTP","Abarema longipedunculata (H.S.Irwin) Barneby & J.W.Grimes","Abarema longipedunculata","(H.S.Irwin) Barneby & J.W.Grimes","synonym","Jupunba longipedunculata (H.S.Irwin) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba longipedunculata (H.S.Irwin) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema macradenia","","8JD5","9DZTQ","9DZTQ","Abarema macradenia (Pittier) Barneby & J.W.Grimes","Abarema macradenia","(Pittier) Barneby & J.W.Grimes","synonym","Jupunba macradenia (Pittier) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba macradenia (Pittier) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema obovalis","","8JDP","3QV3K","3QV3K","Abarema obovalis (A.Rich.) Barneby & J.W.Grimes","Abarema obovalis","(A.Rich.) Barneby & J.W.Grimes","synonym","Jupunba obovalis (A.Rich.) Britton & Rose","SPECIES:Jupunba obovalis (A.Rich.) Britton & Rose|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema oppositifolia","","8JDT","3QV3L","3QV3L","Abarema oppositifolia (Urb.) Barneby & J.W.Grimes","Abarema oppositifolia","(Urb.) Barneby & J.W.Grimes","synonym","Jupunba oppositifolia (Urb.) Britton & Rose","SPECIES:Jupunba oppositifolia (Urb.) Britton & Rose|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema oxyphyllidia","","63YS3","9DZTT","9DZTT","Abarema oxyphyllidia Barneby & J.W.Grimes","Abarema oxyphyllidia","Barneby & J.W.Grimes","synonym","Jupunba oxyphyllidia (Barneby & J.W.Grimes) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba oxyphyllidia (Barneby & J.W.Grimes) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema turbinata","","63Z2W","9DZTW","9DZTW","Abarema turbinata (Benth.) Barneby & J.W.Grimes","Abarema turbinata","(Benth.) Barneby & J.W.Grimes","synonym","Jupunba turbinata (Benth.) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba turbinata (Benth.) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema villifera","","63YQZ","9DZTX","9DZTX","Abarema villifera (Ducke) Barneby & J.W.Grimes","Abarema villifera","(Ducke) Barneby & J.W.Grimes","synonym","Jupunba villifera (Ducke) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba villifera (Ducke) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
