"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Albizia leonardii","","","","","","","","","","","","","","","",""
"Albizia mahalao","","BG8L","BG8L","9CJNC","Albizia mahalao Capuron","Albizia mahalao","Capuron","accepted","Albizia mahalao Capuron","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia mainaea","","BG8M","BG8M","9CJNC","Albizia mainaea Villiers","Albizia mainaea","Villiers","accepted","Albizia mainaea Villiers","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia malacophylla","","BG8P","BG8P","9CJNC","Albizia malacophylla (A.Rich.) Walp.","Albizia malacophylla","(A.Rich.) Walp.","accepted","Albizia malacophylla (A.Rich.) Walp.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia masikororum","","BG8V","BG8V","9CJNC","Albizia masikororum R.Vig.","Albizia masikororum","R.Vig.","accepted","Albizia masikororum R.Vig.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia multiflora","","BG9D","BTSFG","BTSFG","Albizia multiflora (Kunth) Barneby & J.W.Grimes","Albizia multiflora","(Kunth) Barneby & J.W.Grimes","synonym","Pseudalbizzia multiflora (Kunth) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia multiflora (Kunth) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia myriophylla","","BG9F","BG9F","9CJNC","Albizia myriophylla Benth.","Albizia myriophylla","Benth.","accepted","Albizia myriophylla Benth.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia niopoides","","BG9M","BTSFH","BTSFH","Albizia niopoides (Spruce ex Benth.) Burkart","Albizia niopoides","(Spruce ex Benth.) Burkart","synonym","Pseudalbizzia niopoides (Spruce ex Benth.) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia niopoides (Spruce ex Benth.) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia obliquifoliolata","","BG9S","BT3GQ","BT3GQ","Albizia obliquifoliolata De Wild.","Albizia obliquifoliolata","De Wild.","synonym","Hydrochorea obliquifoliolata (De Wild.) E.J.M.Koenen","SPECIES:Hydrochorea obliquifoliolata (De Wild.) E.J.M.Koenen|GENUS:Hydrochorea Barneby & J.W.Grimes|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Hydrochorea Barneby & J.W.Grimes"
"Albizia odoratissima","","BG9V","BG9V","9CJNC","Albizia odoratissima (L.f.) Benth.","Albizia odoratissima","(L.f.) Benth.","accepted","Albizia odoratissima (L.f.) Benth.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia pedicellaris","","5TVTQ","BT3GT","BT3GT","Albizia pedicellaris (DC.) L.Rico","Albizia pedicellaris","(DC.) L.Rico","synonym","Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim","SPECIES:Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim|GENUS:Hydrochorea Barneby & J.W.Grimes|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Hydrochorea Barneby & J.W.Grimes"
"Albizia pistaciifolia","","667TQ","BTSFJ","BTSFJ","Albizia pistaciifolia (Willd.) Barneby & J.W.Grimes","Albizia pistaciifolia","(Willd.) Barneby & J.W.Grimes","synonym","Pseudalbizzia pistaciifolia (Willd.) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia pistaciifolia (Willd.) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia polycephala","","5TVTR","BTSFK","BTSFK","Albizia polycephala (Benth.) Killip","Albizia polycephala","(Benth.) Killip","synonym","Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia polyphylla","","5TW5R","5TW5R","9CJNC","Albizia polyphylla E.Fourn.","Albizia polyphylla","E.Fourn.","accepted","Albizia polyphylla E.Fourn.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia procera","","5TW63","5TW63","9CJNC","Albizia procera (Roxb.) Benth.","Albizia procera","(Roxb.) Benth.","accepted","Albizia procera (Roxb.) Benth.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia saman","","9CNR6","6XGBZ","6XGBZ","Albizia saman (Jacq.) F.Muell.","Albizia saman","(Jacq.) F.Muell.","synonym","Samanea saman (Jacq.) Merr.","SPECIES:Samanea saman (Jacq.) Merr.|GENUS:Samanea (Benth.) Merr.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Samanea (Benth.) Merr."
"Albizia saponaria","","BGB8","BGB8","9CJNC","Albizia saponaria (Lour.) Blume ex Miq.","Albizia saponaria","(Lour.) Blume ex Miq.","accepted","Albizia saponaria (Lour.) Blume ex Miq.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia schimperiana","","BGBD","BGBD","9CJNC","Albizia schimperiana Oliv.","Albizia schimperiana","Oliv.","accepted","Albizia schimperiana Oliv.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia sinaloensis","","BGBK","BTSFL","BTSFL","Albizia sinaloensis Britton & Rose","Albizia sinaloensis","Britton & Rose","synonym","Pseudalbizzia sinaloensis (Britton & Rose) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia sinaloensis (Britton & Rose) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia subdimidiata","","BGBS","BTSFM","BTSFM","Albizia subdimidiata (Splitg.) Barneby & J.W.Grimes","Albizia subdimidiata","(Splitg.) Barneby & J.W.Grimes","synonym","Pseudalbizzia subdimidiata (Splitg.) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia subdimidiata (Splitg.) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia tanganyicensis","","BGBW","BGBW","9CJNC","Albizia tanganyicensis Baker f.","Albizia tanganyicensis","Baker f.","accepted","Albizia tanganyicensis Baker f.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia tomentosa","","BGC5","BTSFN","BTSFN","Albizia tomentosa (Micheli) Standl.","Albizia tomentosa","(Micheli) Standl.","synonym","Pseudalbizzia tomentosa (Micheli) E.J.M.Koenen & Duno","SPECIES:Pseudalbizzia tomentosa (Micheli) E.J.M.Koenen & Duno|GENUS:Pseudalbizzia Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Pseudalbizzia Britton & Rose"
"Albizia tulearensis","","5TW69","5TW69","9CJNC","Albizia tulearensis R.Vig.","Albizia tulearensis","R.Vig.","accepted","Albizia tulearensis R.Vig.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia versicolor","","BGCJ","BGCJ","9CJNC","Albizia versicolor Welw. ex Oliv.","Albizia versicolor","Welw. ex Oliv.","accepted","Albizia versicolor Welw. ex Oliv.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia viridis","","BGCL","BGCL","9CJNC","Albizia viridis E.Fourn.","Albizia viridis","E.Fourn.","accepted","Albizia viridis E.Fourn.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Albizia zygia","","65W69","65W69","9CJNC","Albizia zygia (DC.) J.F.Macbr.","Albizia zygia","(DC.) J.F.Macbr.","accepted","Albizia zygia (DC.) J.F.Macbr.","GENUS:Albizia Durazz.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Albizia Durazz."
"Anadenanthera peregrina","","DCKQ","DCKQ","9CJRG","Anadenanthera peregrina (L.) Speg.","Anadenanthera peregrina","(L.) Speg.","accepted","Anadenanthera peregrina (L.) Speg.","GENUS:Anadenanthera Speg.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Anadenanthera Speg."
"Archidendron borneense","","G8T2","G8T2","9CJYT","Archidendron borneense (Benth.) I.C.Nielsen","Archidendron borneense","(Benth.) I.C.Nielsen","accepted","Archidendron borneense (Benth.) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron chevalieri","","G8T9","G8T9","9CJYT","Archidendron chevalieri (Kosterm.) I.C.Nielsen","Archidendron chevalieri","(Kosterm.) I.C.Nielsen","accepted","Archidendron chevalieri (Kosterm.) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron clypearia","","G8TB","G8TB","9CJYT","Archidendron clypearia (Jack) I.C.Nielsen","Archidendron clypearia","(Jack) I.C.Nielsen","accepted","Archidendron clypearia (Jack) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron eberhardtii","","G8TK","G8TK","9CJYT","Archidendron eberhardtii I.C.Nielsen","Archidendron eberhardtii","I.C.Nielsen","accepted","Archidendron eberhardtii I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron ellipticum","","G8TN","G8TN","9CJYT","Archidendron ellipticum (Blume) I.C.Nielsen","Archidendron ellipticum","(Blume) I.C.Nielsen","accepted","Archidendron ellipticum (Blume) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron glabrum","","G8TV","G8TV","9CJYT","Archidendron glabrum (K.Schum.) K.Schum. & Lauterb.","Archidendron glabrum","(K.Schum.) K.Schum. & Lauterb.","accepted","Archidendron glabrum (K.Schum.) K.Schum. & Lauterb.","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron glomeriflorum","","G8TY","G8TY","9CJYT","Archidendron glomeriflorum (Kurz) I.C.Nielsen","Archidendron glomeriflorum","(Kurz) I.C.Nielsen","accepted","Archidendron glomeriflorum (Kurz) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron jiringa","","67PTM","67PTM","9CJYT","Archidendron jiringa (Jack) I.C.Nielsen","Archidendron jiringa","(Jack) I.C.Nielsen","accepted","Archidendron jiringa (Jack) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron lucyi","","5W25S","5W25S","9CJYT","Archidendron lucyi F.Muell.","Archidendron lucyi","F.Muell.","accepted","Archidendron lucyi F.Muell.","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron ptenopum","","G8VK","G8VK","9CJYT","Archidendron ptenopum Verdc.","Archidendron ptenopum","Verdc.","accepted","Archidendron ptenopum Verdc.","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron robinsonii","","G8VP","G8VP","9CJYT","Archidendron robinsonii (Gagnep.) I.C.Nielsen","Archidendron robinsonii","(Gagnep.) I.C.Nielsen","accepted","Archidendron robinsonii (Gagnep.) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron scutiferum","","5VQ5R","5VQ5R","9CJYT","Archidendron scutiferum (Blanco) I.C.Nielsen","Archidendron scutiferum","(Blanco) I.C.Nielsen","accepted","Archidendron scutiferum (Blanco) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron triplinervium","","G8W8","G8W8","9CJYT","Archidendron triplinervium (Kosterm.) I.C.Nielsen","Archidendron triplinervium","(Kosterm.) I.C.Nielsen","accepted","Archidendron triplinervium (Kosterm.) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendron utile","","5VQ63","5VQ63","9CJYT","Archidendron utile (Chun & F.C.How) I.C.Nielsen","Archidendron utile","(Chun & F.C.How) I.C.Nielsen","accepted","Archidendron utile (Chun & F.C.How) I.C.Nielsen","GENUS:Archidendron F.Muell.|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendron F.Muell."
"Archidendropsis basaltica","","G8WG","BTR3V","BTR3V","Archidendropsis basaltica (F.Muell.) I.C.Nielsen","Archidendropsis basaltica","(F.Muell.) I.C.Nielsen","synonym","Heliodendron basalticum (F.Muell.) Gill.K.Br. & Bayly","SPECIES:Heliodendron basalticum (F.Muell.) Gill.K.Br. & Bayly|GENUS:Heliodendron Gill.K.Br. & Bayly|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Heliodendron Gill.K.Br. & Bayly"
"Archidendropsis fournieri","","9CVYB","9CVYB","9CJYV","Archidendropsis fournieri (Vieill.) I.C.Nielsen","Archidendropsis fournieri","(Vieill.) I.C.Nielsen","accepted","Archidendropsis fournieri (Vieill.) I.C.Nielsen","GENUS:Archidendropsis I.C.Nielsen|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendropsis I.C.Nielsen"
"Archidendropsis granulosa","","G8WK","G8WK","9CJYV","Archidendropsis granulosa (Labill.) I.C.Nielsen","Archidendropsis granulosa","(Labill.) I.C.Nielsen","accepted","Archidendropsis granulosa (Labill.) I.C.Nielsen","GENUS:Archidendropsis I.C.Nielsen|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Archidendropsis I.C.Nielsen"
